midPrice,sell,buy,installment,updated_at
,1256960,1225536,1256960,2024-05-08T00:00:00.000Z
,1265969,1234319,1265969,2024-05-07T00:00:00.000Z
,1259031,1227555,1259031,2024-05-06T00:00:00.000Z
,1267213,1235532,1267213,2024-05-05T00:00:00.000Z
,1267213,1235532,1267213,2024-05-04T00:00:00.000Z
,1266787,1235117,1266787,2024-05-03T00:00:00.000Z
,1275895,1243997,1275895,2024-05-02T00:00:00.000Z
,1273402,1241566,1273402,2024-05-01T00:00:00.000Z
,1273050,1241223,1273050,2024-04-30T00:00:00.000Z
,1274172,1242317,1274172,2024-04-29T00:00:00.000Z
,1268595,1236880,1268595,2024-04-28T00:00:00.000Z
,1268595,1236880,1268595,2024-04-27T00:00:00.000Z
,1268213,1236507,1268213,2024-04-26T00:00:00.000Z
,1268093,1236390,1268093,2024-04-25T00:00:00.000Z
,1269076,1237349,1269076,2024-04-24T00:00:00.000Z
,1273986,1242136,1273986,2024-04-23T00:00:00.000Z
,1291670,1259378,1291670,2024-04-22T00:00:00.000Z
,1293706,1261363,1293706,2024-04-21T00:00:00.000Z
,1293706,1261363,1293706,2024-04-20T00:00:00.000Z
,1293238,1260907,1293238,2024-04-19T00:00:00.000Z
,1284375,1252265,1284375,2024-04-18T00:00:00.000Z
,1271482,1239694,1271482,2024-04-17T00:00:00.000Z
,1271403,1239617,1271403,2024-04-16T00:00:00.000Z
,1269139,1237410,1269139,2024-04-15T00:00:00.000Z
,1228683,1197965,1228683,2024-04-14T00:00:00.000Z
,1228683,1197965,1228683,2024-04-13T00:00:00.000Z
,1228584,1197869,1228584,2024-04-12T00:00:00.000Z
,1228157,1197453,1228157,2024-04-11T00:00:00.000Z
,1228076,1197374,1228076,2024-04-10T00:00:00.000Z
,1228102,1197399,1228102,2024-04-09T00:00:00.000Z
,1227973,1197273,1227973,2024-04-08T00:00:00.000Z
,1228358,1197649,1228358,2024-04-07T00:00:00.000Z
,1228358,1197649,1228358,2024-04-06T00:00:00.000Z
,1227848,1197151,1227848,2024-04-05T00:00:00.000Z
,1230773,1200003,1230773,2024-04-04T00:00:00.000Z
,1221803,1191257,1221803,2024-04-03T00:00:00.000Z
,1203757,1173663,1203757,2024-04-02T00:00:00.000Z
,1201618,1171577,1201618,2024-04-01T00:00:00.000Z
,1170992,1141717,1170992,2024-03-31T00:00:00.000Z
,1170992,1141717,1170992,2024-03-30T00:00:00.000Z
,1167669,1138477,1167669,2024-03-29T00:00:00.000Z
,1167572,1138382,1167572,2024-03-28T00:00:00.000Z
,1159574,1130584,1159574,2024-03-27T00:00:00.000Z
,1155476,1126589,1155476,2024-03-26T00:00:00.000Z
,1145521,1116882,1145521,2024-03-25T00:00:00.000Z
,1152065,1123263,1152065,2024-03-24T00:00:00.000Z
,1152065,1123263,1152065,2024-03-23T00:00:00.000Z
,1152467,1123655,1152467,2024-03-22T00:00:00.000Z
,1162327,1133268,1162327,2024-03-21T00:00:00.000Z
